att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,class
1.17137,0.45579,0.949086,-1.041491,5.723324,0.182181,1.993874,-0.265916,0.498532,1.287811,0.443008,0.425085,2.821109,4.513951,3.787097,3.658103,5.136353,5.478543,-0.699478,2.665402,2.680653,1
4.251164,3.397514,2.902599,4.214039,1.984117,-0.117179,-1.771988,-0.149279,-0.497791,-1.33273,-0.381399,-1.496829,1.492044,2.653443,0.549851,2.170894,0.614224,3.188099,-1.812935,3.339569,4.081537,2
1.721591,3.656297,1.791424,2.259264,2.141655,1.451868,-0.103772,-0.626829,1.227661,-0.003384,1.531655,2.398843,0.271943,2.449087,4.2745,1.093479,2.531691,2.234977,0.409646,1.165906,2.396266,0
3.338269,2.58442,0.20685,1.2149,4.178364,0.705044,0.358027,-0.635474,0.55333,0.851329,-0.931843,0.289588,0.804143,0.75321,2.620869,3.062318,4.541162,4.667227,-1.285306,4.217613,1.772009,2
1.388673,-0.328422,-1.595195,0.520422,3.27747,0.295666,0.414705,0.418359,1.136178,0.529282,0.010678,2.321829,3.059199,4.96463,2.644764,4.086113,4.133125,5.519922,1.23836,1.637592,-0.333437,1
5.703759,2.170373,0.675693,3.271154,4.042207,1.761242,-0.751149,0.224587,-0.358048,0.252423,-0.36019,0.7084,0.548234,1.344279,0.328413,2.044845,1.886982,4.691901,0.548074,3.395072,3.050326,2
1.167688,0.508387,2.543793,1.180254,0.386932,-1.423477,-2.916186,-0.365595,-0.897871,2.093205,2.22025,3.213641,4.445401,5.792487,3.25062,4.386841,3.352913,2.47176,-2.05833,-0.748247,-0.329925,0
5.010074,6.003893,2.687569,2.309867,3.269612,1.319326,1.259858,-0.799458,0.215014,0.05101,-0.831671,-0.48237,-0.027694,1.381496,1.554022,-0.183035,1.349597,1.451477,1.265279,2.559521,4.327405,0
-0.031161,0.793643,0.30305,1.648552,2.122438,-0.310193,1.938956,-0.023665,-0.104509,1.454566,2.078949,2.886849,3.605937,5.381013,6.356638,6.385493,4.3613,1.907562,0.87936,1.120573,1.145036,1
2.940693,0.740724,0.757661,-1.15553,5.552249,0.687992,0.886104,-0.501404,-0.124548,1.325148,0.234187,-0.074892,1.052095,1.753441,3.572499,4.357604,4.530276,4.940273,0.859901,3.28092,4.429423,2
1.874374,-0.055909,-0.152746,1.811152,3.473275,-0.162785,0.406807,1.024924,-1.50544,1.649442,1.505447,2.260229,3.048574,3.504314,4.245464,4.947799,2.803511,4.290932,0.876454,2.650761,1.451432,1
5.412248,4.609801,4.803415,0.337218,3.594151,1.345731,-1.048301,0.247643,0.441706,0.439915,-0.159398,-0.615515,1.270739,0.230996,-0.495372,0.640655,2.042952,4.800177,2.692304,3.528681,4.498668,0
1.921338,1.203219,0.990291,3.323817,4.202057,0.065988,-0.346098,-0.782187,0.500205,1.139896,-0.403617,0.685613,-0.444044,-0.152487,2.275006,1.015234,3.648193,4.841837,0.677378,3.231332,3.228562,2
1.949227,-0.19659,0.032972,1.36411,3.454208,1.780749,0.233036,1.218871,-1.962013,-0.06264,2.449056,0.561926,3.370699,4.121931,5.687291,4.170691,4.560779,4.872479,0.129824,0.486687,2.730891,1
0.728865,1.993249,0.514965,-0.202071,2.273895,-1.337908,-0.818136,-0.59689,2.00883,0.147993,3.340138,3.576997,2.015453,5.740344,4.219907,2.247349,3.416784,2.051888,-0.192771,1.556873,-0.116642,0
0.885868,1.822089,0.723059,1.126992,1.706913,0.248842,-1.179757,-0.74116,0.896685,2.239888,1.165526,2.322413,3.959687,5.969235,4.18476,5.01689,3.201952,1.347685,1.039934,-0.374318,3.401532,0
5.69884,3.26475,1.078805,1.09276,3.959507,-0.63332,-2.118383,-0.634827,0.1859,0.821747,0.253798,1.533992,0.041376,1.375804,2.079615,2.298202,4.475812,3.530599,-0.580432,5.305009,3.076986,2
