,SALF,IIF,RAIL,DWM,IWEM,DWM_A,IWEM_A
agrawal_sudden,[0.73524623],[0.49998995],[0.6301407],[0.73120603],[0.77342714],[0.61090452],[0.68653266]
agrawal_gradual,[0.73164824],[0.49567839],[0.6381206],[0.72625126],[0.75058291],[0.58778894],[0.68203015]
stag_sudden,[0.7579397],[0.45011055],[0.72762814],[0.72070352],[0.59912563],[0.99703518],[0.99661307]
stag_gradual,[0.75888442],[0.45095477],[0.71413065],[0.71325628],[0.60378894],[0.98158794],[0.98093467]
tree_sudden,[0.53872362],[0.43644221],[0.4980402],[0.42173869],[0.39990955],[0.53426131],[0.55261307]
tree_gradual,[0.60271357],[0.41339698],[0.55860302],[0.47998995],[0.45230151],[0.66267337],[0.69272362]
rbf,[0.43548744],[0.29972864],[0.32015075],[0.22314573],[0.28247236],[0.33310553],[0.43542714]
wave,[0.73885427],[0.58093467],[0.72794975],[0.57545729],[0.52907538],[0.79664322],[0.78409045]
weather,[0.74721105],[0.68548615],[0.70411688],[0.68367405],[0.68690186],[0.69958661],[0.73633841]
elec,[0.67957244],[0.5706284],[0.68120146],[0.64578684],[0.79177452],[0.80123628],[0.86911988]
sensor,[0.8634601],[0.15779269],[0.91126025],[0.80633855],[0.84996271],[0.80633855],[0.83922446]
covtype,[0.86904663],[0.50784824],[0.76540881],[0.77882972],[0.85219324],[0.81245866],[0.8925173]
