,SALF,IIF,RAIL,DWM,IWEM,DWM_A,IWEM_A
agrawal_sudden,0.7352(2),0.5000(5),0.6301(4),0.7312(3),0.7734(1),0.6109,0.6865
agrawal_gradual,0.7316(2),0.4957(5),0.6381(4),0.7263(3),0.7506(1),0.5878,0.682
stag_sudden,0.7579(1),0.4501(5),0.7276(2),0.7207(3),0.5991(4),0.997,0.9966
stag_gradual,0.7589(1),0.4510(5),0.7141(2),0.7133(3),0.6038(4),0.9816,0.9809
tree_sudden,0.5387(1),0.4364(3),0.4980(2),0.4217(4),0.3999(5),0.5343,0.5526
tree_gradual,0.6027(1),0.4134(5),0.5586(2),0.4800(3),0.4523(4),0.6627,0.6927
rbf,0.4355(1),0.2997(3),0.3202(2),0.2231(5),0.2825(4),0.3331,0.4354
wave,0.7389(1),0.5809(3),0.7279(2),0.5755(4),0.5291(5),0.7966,0.7841
weather,0.7472(1),0.6855(4),0.7041(2),0.6837(5),0.6869(3),0.6996,0.7363
elec,0.6796(3),0.5706(5),0.6812(2),0.6458(4),0.7918(1),0.8012,0.8691
sensor,0.8635(2),0.1578(5),0.9113(1),0.8063(4),0.8500(3),0.8063,0.8392
covtype,0.8690(1),0.5078(5),0.7654(4),0.7788(3),0.8522(2),0.8125,0.8925
AVG_ACC,0.7049,0.4624,0.6564,0.6255,0.631,0.7186,0.7623
AVG_RANK,1.4167,4.4167,2.4167,3.6667,3.0833,,
