dataset,n_subspaces,js_threshold,avg_error,std_error
rbf,2,0.0001,0.39927638190954773,0.0
rbf,2,0.0005,0.40057286432160805,0.0
rbf,2,0.001,0.4014673366834171,0.0
rbf,2,0.005,0.3601005025125628,0.0
rbf,2,0.01,0.3597989949748744,0.0
rbf,2,0.05,0.3597989949748744,0.0
rbf,2,0.1,0.3597989949748744,0.0
rbf,3,0.0001,0.4187638190954774,0.0
rbf,3,0.0005,0.4176281407035176,0.0
rbf,3,0.001,0.4184824120603015,0.0
rbf,3,0.005,0.3685025125628141,0.0
rbf,3,0.01,0.3685025125628141,0.0
rbf,3,0.05,0.3685025125628141,0.0
rbf,3,0.1,0.3685025125628141,0.0
rbf,4,0.0001,0.4236381909547739,0.0
rbf,4,0.0005,0.42451256281407035,0.0
rbf,4,0.001,0.4239899497487437,0.0
rbf,4,0.005,0.3901507537688442,0.0
rbf,4,0.01,0.36989949748743717,0.0
rbf,4,0.05,0.36989949748743717,0.0
rbf,4,0.1,0.36989949748743717,0.0
rbf,5,0.0001,0.42801005025125627,0.0
rbf,5,0.0005,0.42911557788944726,0.0
rbf,5,0.001,0.4298391959798995,0.0
rbf,5,0.005,0.4252462311557789,0.0
rbf,5,0.01,0.37104522613065327,0.0
rbf,5,0.05,0.37104522613065327,0.0
rbf,5,0.1,0.37104522613065327,0.0
rbf,6,0.0001,0.43366834170854274,0.0
rbf,6,0.0005,0.4313366834170854,0.0
rbf,6,0.001,0.43056281407035174,0.0
rbf,6,0.005,0.42569849246231156,0.0
rbf,6,0.01,0.3734070351758794,0.0
rbf,6,0.05,0.37321608040201004,0.0
rbf,6,0.1,0.37321608040201004,0.0
rbf,7,0.0001,0.43563819095477385,0.0
rbf,7,0.0005,0.433427135678392,0.0
rbf,7,0.001,0.43548743718592964,0.0
rbf,7,0.005,0.4401909547738693,0.0
rbf,7,0.01,0.3759597989949749,0.0
rbf,7,0.05,0.37633165829145726,0.0
rbf,7,0.1,0.37633165829145726,0.0
rbf,8,0.0001,0.4333869346733668,0.0
rbf,8,0.0005,0.4333467336683417,0.0
rbf,8,0.001,0.4342613065326633,0.0
rbf,8,0.005,0.43810050251256283,0.0
rbf,8,0.01,0.376070351758794,0.0
rbf,8,0.05,0.374964824120603,0.0
rbf,8,0.1,0.374964824120603,0.0
rbf,9,0.0001,0.43455276381909547,0.0
rbf,9,0.0005,0.43532663316582915,0.0
rbf,9,0.001,0.43532663316582915,0.0
rbf,9,0.005,0.4409246231155779,0.0
rbf,9,0.01,0.39619095477386934,0.0
rbf,9,0.05,0.37778894472361807,0.0
rbf,9,0.1,0.37778894472361807,0.0
